Feedback,Sentiment,Cleaned_Feedback
amazing teaching style. liked it very much!!!,Neutral,amazing teaching style liked much
materia;l is not upto date. disappointed!,Positive,material upto date disappointed
neutral,Neutral,neutral
the teaching methods are very good and helpfull,Positive,teaching method good helpfull
too fast. cannot follw. improve pls!,Neutral,fast follw improve pls
the teacher doesnt respond to doubts on time :(,Positive,teacher doesnt respond doubt time
materials are really **helpful** and easy 2 understand,Positive,material really helpful easy 2 understand
too fast. cannot follw. improve pls!,Negative,fast follw improve pls
classes are  engaging. but timings inconvenient,Neutral,class engaging timing inconvenient
the teaching methods are very good and helpfull,Neutral,teaching method good helpfull
neutral,Neutral,neutral
neutral,Positive,neutral
materials are really **helpful** and easy 2 understand,Negative,material really helpful easy 2 understand
materia;l is not upto date. disappointed!,Positive,material upto date disappointed
neutral,Positive,neutral
the teaching methods are very good and helpfull,Neutral,teaching method good helpfull
too fast. cannot follw. improve pls!,Neutral,fast follw improve pls
neutral,Positive,neutral
teaching methods r average. ok overall,Neutral,teaching method r average ok overall
materia;l is not upto date. disappointed!,Neutral,material upto date disappointed
neutral,Negative,neutral
amazing teaching style. liked it very much!!!,Negative,amazing teaching style liked much
teaching methods r average. ok overall,Positive,teaching method r average ok overall
teaching methods r average. ok overall,Neutral,teaching method r average ok overall
amazing teaching style. liked it very much!!!,Neutral,amazing teaching style liked much
teaching methods r average. ok overall,Positive,teaching method r average ok overall
too fast. cannot follw. improve pls!,Neutral,fast follw improve pls
amazing teaching style. liked it very much!!!,Positive,amazing teaching style liked much
too fast. cannot follw. improve pls!,Negative,fast follw improve pls
teaching methods r average. ok overall,Positive,teaching method r average ok overall
teaching methods r average. ok overall,Positive,teaching method r average ok overall
the teaching methods are very good and helpfull,Positive,teaching method good helpfull
the teaching methods are very good and helpfull,Neutral,teaching method good helpfull
neutral,Negative,neutral
the teaching methods are very good and helpfull,Positive,teaching method good helpfull
teaching methods r average. ok overall,Positive,teaching method r average ok overall
amazing teaching style. liked it very much!!!,Negative,amazing teaching style liked much
materials are really **helpful** and easy 2 understand,Negative,material really helpful easy 2 understand
the teacher doesnt respond to doubts on time :(,Negative,teacher doesnt respond doubt time
the teaching methods are very good and helpfull,Negative,teaching method good helpfull
materia;l is not upto date. disappointed!,Negative,material upto date disappointed
neutral,Negative,neutral
materia;l is not upto date. disappointed!,Neutral,material upto date disappointed
the teacher doesnt respond to doubts on time :(,Positive,teacher doesnt respond doubt time
neutral,Negative,neutral
neutral,Positive,neutral
the teacher doesnt respond to doubts on time :(,Negative,teacher doesnt respond doubt time
neutral,Positive,neutral
neutral,Neutral,neutral
materia;l is not upto date. disappointed!,Positive,material upto date disappointed
the teacher doesnt respond to doubts on time :(,Negative,teacher doesnt respond doubt time
amazing teaching style. liked it very much!!!,Positive,amazing teaching style liked much
too fast. cannot follw. improve pls!,Negative,fast follw improve pls
neutral,Negative,neutral
teaching methods r average. ok overall,Negative,teaching method r average ok overall
the teacher doesnt respond to doubts on time :(,Negative,teacher doesnt respond doubt time
the teacher doesnt respond to doubts on time :(,Negative,teacher doesnt respond doubt time
neutral,Positive,neutral
the teacher doesnt respond to doubts on time :(,Negative,teacher doesnt respond doubt time
too fast. cannot follw. improve pls!,Neutral,fast follw improve pls
amazing teaching style. liked it very much!!!,Neutral,amazing teaching style liked much
materia;l is not upto date. disappointed!,Neutral,material upto date disappointed
too fast. cannot follw. improve pls!,Neutral,fast follw improve pls
neutral,Negative,neutral
neutral,Negative,neutral
the teaching methods are very good and helpfull,Positive,teaching method good helpfull
too fast. cannot follw. improve pls!,Neutral,fast follw improve pls
classes are  engaging. but timings inconvenient,Neutral,class engaging timing inconvenient
the teacher doesnt respond to doubts on time :(,Neutral,teacher doesnt respond doubt time
too fast. cannot follw. improve pls!,Negative,fast follw improve pls
neutral,Neutral,neutral
materia;l is not upto date. disappointed!,Negative,material upto date disappointed
neutral,Positive,neutral
amazing teaching style. liked it very much!!!,Positive,amazing teaching style liked much
amazing teaching style. liked it very much!!!,Negative,amazing teaching style liked much
too fast. cannot follw. improve pls!,Negative,fast follw improve pls
amazing teaching style. liked it very much!!!,Positive,amazing teaching style liked much
the teacher doesnt respond to doubts on time :(,Positive,teacher doesnt respond doubt time
neutral,Positive,neutral
neutral,Negative,neutral
neutral,Neutral,neutral
teaching methods r average. ok overall,Neutral,teaching method r average ok overall
teaching methods r average. ok overall,Negative,teaching method r average ok overall
materia;l is not upto date. disappointed!,Negative,material upto date disappointed
the teacher doesnt respond to doubts on time :(,Negative,teacher doesnt respond doubt time
materials are really **helpful** and easy 2 understand,Negative,material really helpful easy 2 understand
neutral,Neutral,neutral
materia;l is not upto date. disappointed!,Positive,material upto date disappointed
neutral,Negative,neutral
teaching methods r average. ok overall,Neutral,teaching method r average ok overall
too fast. cannot follw. improve pls!,Negative,fast follw improve pls
the teaching methods are very good and helpfull,Neutral,teaching method good helpfull
neutral,Positive,neutral
materials are really **helpful** and easy 2 understand,Neutral,material really helpful easy 2 understand
the teaching methods are very good and helpfull,Negative,teaching method good helpfull
materials are really **helpful** and easy 2 understand,Neutral,material really helpful easy 2 understand
the teacher doesnt respond to doubts on time :(,Negative,teacher doesnt respond doubt time
materia;l is not upto date. disappointed!,Positive,material upto date disappointed
the teacher doesnt respond to doubts on time :(,Negative,teacher doesnt respond doubt time
amazing teaching style. liked it very much!!!,Negative,amazing teaching style liked much
too fast. cannot follw. improve pls!,Negative,fast follw improve pls
teaching methods r average. ok overall,Positive,teaching method r average ok overall
teaching methods r average. ok overall,Positive,teaching method r average ok overall
amazing teaching style. liked it very much!!!,Neutral,amazing teaching style liked much
the teaching methods are very good and helpfull,Neutral,teaching method good helpfull
the teaching methods are very good and helpfull,Positive,teaching method good helpfull
neutral,Negative,neutral
materials are really **helpful** and easy 2 understand,Neutral,material really helpful easy 2 understand
materials are really **helpful** and easy 2 understand,Positive,material really helpful easy 2 understand
neutral,Negative,neutral
materia;l is not upto date. disappointed!,Negative,material upto date disappointed
amazing teaching style. liked it very much!!!,Positive,amazing teaching style liked much
the teaching methods are very good and helpfull,Neutral,teaching method good helpfull
neutral,Neutral,neutral
too fast. cannot follw. improve pls!,Positive,fast follw improve pls
materials are really **helpful** and easy 2 understand,Negative,material really helpful easy 2 understand
too fast. cannot follw. improve pls!,Negative,fast follw improve pls
too fast. cannot follw. improve pls!,Positive,fast follw improve pls
teaching methods r average. ok overall,Positive,teaching method r average ok overall
amazing teaching style. liked it very much!!!,Neutral,amazing teaching style liked much
neutral,Neutral,neutral
materials are really **helpful** and easy 2 understand,Neutral,material really helpful easy 2 understand
neutral,Positive,neutral
amazing teaching style. liked it very much!!!,Neutral,amazing teaching style liked much
too fast. cannot follw. improve pls!,Neutral,fast follw improve pls
amazing teaching style. liked it very much!!!,Negative,amazing teaching style liked much
teaching methods r average. ok overall,Positive,teaching method r average ok overall
the teaching methods are very good and helpfull,Negative,teaching method good helpfull
amazing teaching style. liked it very much!!!,Negative,amazing teaching style liked much
neutral,Negative,neutral
too fast. cannot follw. improve pls!,Neutral,fast follw improve pls
the teacher doesnt respond to doubts on time :(,Negative,teacher doesnt respond doubt time
classes are  engaging. but timings inconvenient,Neutral,class engaging timing inconvenient
materia;l is not upto date. disappointed!,Positive,material upto date disappointed
amazing teaching style. liked it very much!!!,Positive,amazing teaching style liked much
too fast. cannot follw. improve pls!,Negative,fast follw improve pls
too fast. cannot follw. improve pls!,Positive,fast follw improve pls
materials are really **helpful** and easy 2 understand,Neutral,material really helpful easy 2 understand
classes are  engaging. but timings inconvenient,Negative,class engaging timing inconvenient
the teaching methods are very good and helpfull,Neutral,teaching method good helpfull
the teaching methods are very good and helpfull,Neutral,teaching method good helpfull
the teacher doesnt respond to doubts on time :(,Positive,teacher doesnt respond doubt time
neutral,Neutral,neutral
neutral,Negative,neutral
amazing teaching style. liked it very much!!!,Positive,amazing teaching style liked much
too fast. cannot follw. improve pls!,Negative,fast follw improve pls
the teacher doesnt respond to doubts on time :(,Negative,teacher doesnt respond doubt time
too fast. cannot follw. improve pls!,Negative,fast follw improve pls
the teaching methods are very good and helpfull,Negative,teaching method good helpfull
materials are really **helpful** and easy 2 understand,Neutral,material really helpful easy 2 understand
too fast. cannot follw. improve pls!,Negative,fast follw improve pls
teaching methods r average. ok overall,Neutral,teaching method r average ok overall
classes are  engaging. but timings inconvenient,Positive,class engaging timing inconvenient
neutral,Positive,neutral
materials are really **helpful** and easy 2 understand,Negative,material really helpful easy 2 understand
classes are  engaging. but timings inconvenient,Negative,class engaging timing inconvenient
teaching methods r average. ok overall,Positive,teaching method r average ok overall
materia;l is not upto date. disappointed!,Positive,material upto date disappointed
classes are  engaging. but timings inconvenient,Positive,class engaging timing inconvenient
neutral,Negative,neutral
teaching methods r average. ok overall,Positive,teaching method r average ok overall
materia;l is not upto date. disappointed!,Negative,material upto date disappointed
teaching methods r average. ok overall,Positive,teaching method r average ok overall
classes are  engaging. but timings inconvenient,Neutral,class engaging timing inconvenient
classes are  engaging. but timings inconvenient,Positive,class engaging timing inconvenient
neutral,Negative,neutral
amazing teaching style. liked it very much!!!,Positive,amazing teaching style liked much
too fast. cannot follw. improve pls!,Neutral,fast follw improve pls
too fast. cannot follw. improve pls!,Negative,fast follw improve pls
materials are really **helpful** and easy 2 understand,Positive,material really helpful easy 2 understand
the teaching methods are very good and helpfull,Neutral,teaching method good helpfull
amazing teaching style. liked it very much!!!,Positive,amazing teaching style liked much
neutral,Neutral,neutral
materials are really **helpful** and easy 2 understand,Positive,material really helpful easy 2 understand
neutral,Neutral,neutral
materia;l is not upto date. disappointed!,Negative,material upto date disappointed
teaching methods r average. ok overall,Positive,teaching method r average ok overall
neutral,Positive,neutral
materials are really **helpful** and easy 2 understand,Positive,material really helpful easy 2 understand
neutral,Neutral,neutral
too fast. cannot follw. improve pls!,Positive,fast follw improve pls
amazing teaching style. liked it very much!!!,Neutral,amazing teaching style liked much
neutral,Positive,neutral
the teacher doesnt respond to doubts on time :(,Negative,teacher doesnt respond doubt time
neutral,Positive,neutral
materials are really **helpful** and easy 2 understand,Neutral,material really helpful easy 2 understand
the teaching methods are very good and helpfull,Positive,teaching method good helpfull
materials are really **helpful** and easy 2 understand,Positive,material really helpful easy 2 understand
amazing teaching style. liked it very much!!!,Positive,amazing teaching style liked much
materia;l is not upto date. disappointed!,Neutral,material upto date disappointed
neutral,Positive,neutral
materia;l is not upto date. disappointed!,Negative,material upto date disappointed
classes are  engaging. but timings inconvenient,Neutral,class engaging timing inconvenient
materia;l is not upto date. disappointed!,Neutral,material upto date disappointed
the teaching methods are very good and helpfull,Positive,teaching method good helpfull
the teaching methods are very good and helpfull,Negative,teaching method good helpfull
too fast. cannot follw. improve pls!,Positive,fast follw improve pls
materials are really **helpful** and easy 2 understand,Positive,material really helpful easy 2 understand
neutral,Neutral,neutral
amazing teaching style. liked it very much!!!,Negative,amazing teaching style liked much
amazing teaching style. liked it very much!!!,Neutral,amazing teaching style liked much
the teacher doesnt respond to doubts on time :(,Negative,teacher doesnt respond doubt time
materials are really **helpful** and easy 2 understand,Positive,material really helpful easy 2 understand
classes are  engaging. but timings inconvenient,Positive,class engaging timing inconvenient
the teaching methods are very good and helpfull,Negative,teaching method good helpfull
teaching methods r average. ok overall,Negative,teaching method r average ok overall
neutral,Negative,neutral
neutral,Negative,neutral
amazing teaching style. liked it very much!!!,Negative,amazing teaching style liked much
neutral,Positive,neutral
classes are  engaging. but timings inconvenient,Positive,class engaging timing inconvenient
amazing teaching style. liked it very much!!!,Negative,amazing teaching style liked much
materia;l is not upto date. disappointed!,Neutral,material upto date disappointed
classes are  engaging. but timings inconvenient,Neutral,class engaging timing inconvenient
amazing teaching style. liked it very much!!!,Positive,amazing teaching style liked much
neutral,Positive,neutral
neutral,Neutral,neutral
teaching methods r average. ok overall,Negative,teaching method r average ok overall
the teaching methods are very good and helpfull,Negative,teaching method good helpfull
the teacher doesnt respond to doubts on time :(,Negative,teacher doesnt respond doubt time
materia;l is not upto date. disappointed!,Neutral,material upto date disappointed
neutral,Negative,neutral
the teaching methods are very good and helpfull,Positive,teaching method good helpfull
the teacher doesnt respond to doubts on time :(,Neutral,teacher doesnt respond doubt time
neutral,Negative,neutral
the teacher doesnt respond to doubts on time :(,Neutral,teacher doesnt respond doubt time
neutral,Neutral,neutral
amazing teaching style. liked it very much!!!,Neutral,amazing teaching style liked much
amazing teaching style. liked it very much!!!,Negative,amazing teaching style liked much
materia;l is not upto date. disappointed!,Negative,material upto date disappointed
amazing teaching style. liked it very much!!!,Positive,amazing teaching style liked much
materia;l is not upto date. disappointed!,Positive,material upto date disappointed
neutral,Positive,neutral
neutral,Negative,neutral
teaching methods r average. ok overall,Negative,teaching method r average ok overall
too fast. cannot follw. improve pls!,Negative,fast follw improve pls
classes are  engaging. but timings inconvenient,Neutral,class engaging timing inconvenient
materia;l is not upto date. disappointed!,Positive,material upto date disappointed
neutral,Neutral,neutral
materia;l is not upto date. disappointed!,Neutral,material upto date disappointed
too fast. cannot follw. improve pls!,Positive,fast follw improve pls
neutral,Neutral,neutral
the teacher doesnt respond to doubts on time :(,Neutral,teacher doesnt respond doubt time
materia;l is not upto date. disappointed!,Neutral,material upto date disappointed
too fast. cannot follw. improve pls!,Negative,fast follw improve pls
the teaching methods are very good and helpfull,Neutral,teaching method good helpfull
teaching methods r average. ok overall,Neutral,teaching method r average ok overall
teaching methods r average. ok overall,Negative,teaching method r average ok overall
neutral,Positive,neutral
too fast. cannot follw. improve pls!,Neutral,fast follw improve pls
the teacher doesnt respond to doubts on time :(,Positive,teacher doesnt respond doubt time
the teacher doesnt respond to doubts on time :(,Neutral,teacher doesnt respond doubt time
neutral,Positive,neutral
neutral,Negative,neutral
